Database	ID	Name	Category	Genes	Metabolites	Associated_Metabolite_Sets
SMPDB	SMP0000468	Degradation of Superoxides	Metabolic	SOD3;SOD1;SOD2;CAT;TYRP1	HMDB0002168;HMDB0059597;HMDB0001377;HMDB0003125;HMDB0000657;HMDB0001303;HMDB0001333;HMDB0002111;HMDB0003178;HMDB0000217	
SMPDB	SMP0000449	Ethanol Degradation	Metabolic	ADH1B;ALDH2;CYP2E1;CAT;ACSS2;ACSS1;ALDH1B1	HMDB0000108;HMDB0000902;HMDB0000990;HMDB0001487;HMDB0059597;HMDB0001303;HMDB0002111;HMDB0000042;HMDB0001377;HMDB0000221;HMDB0000217;HMDB0003178;HMDB0003125;HMDB0000538;HMDB0001423;HMDB0000045;HMDB0000250;HMDB0001206	
SMPDB	SMP0000054	Fatty Acid Elongation in Mitochondria	Metabolic	HSD17B10;HADHA;HADHB;ECHS1;MECR;ACAA2;PPT1	HMDB0003943;HMDB0003942;HMDB0000902;HMDB0001487;HMDB0059597;HMDB0003944;HMDB0002111;HMDB0000221;HMDB0002845;HMDB0000217;HMDB0001206;HMDB0001088;HMDB0001423;HMDB0003941;HMDB0003940;HMDB0003949;HMDB0001070;HMDB0003939;HMDB0003938;HMDB0003948;HMDB0006404;HMDB0003937;HMDB0003936;HMDB0003712;HMDB0003571;HMDB0003935;HMDB0003934;HMDB0003946;HMDB0001521;HMDB0006402;HMDB0003932;HMDB0003945;HMDB0001338;HMDB0000220	
SMPDB	SMP0000051	Fatty Acid Metabolism	Metabolic	CPT2;ECHS1;HADHA;HADHB;ACAA2;CPT1A;ACSL1;ACADL;ACADM;ACADSB;ACADS;ACAT1;GCDH;ACADVL	HMDB0000222;HMDB0001338;HMDB0000062;HMDB0001423;HMDB0003945;HMDB0003932;HMDB0002111;HMDB0000902;HMDB0006402;HMDB0001487;HMDB0059597;HMDB0001521;HMDB0001206;HMDB0000220;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000547;HMDB0003946;HMDB0003934;HMDB0003935;HMDB0003571;HMDB0003936;HMDB0003937;HMDB0006404;HMDB0003948;HMDB0003938;HMDB0003939;HMDB0001070;HMDB0003949;HMDB0003940;HMDB0003941;HMDB0002845;HMDB0003944;HMDB0001248;HMDB0003942;HMDB0003943;HMDB0001088;HMDB0002009;HMDB0001166;HMDB0001484;HMDB0001339;HMDB0001967	
SMPDB	SMP0000053	Folate Metabolism	Metabolic	DHFR;MTHFD1;ALDH1L1;FTCD;MTHFS;MTHFR;FPGS;GGH;MTHFD1L;MTHFD2;MTFMT;SLC46A1	HMDB0001056;HMDB0001846;HMDB0000217;HMDB0000221;HMDB0000121;HMDB0000538;HMDB0000142;HMDB0001341;HMDB0000972;HMDB0001429;HMDB0002111;HMDB0001967;HMDB0001562;HMDB0000148;HMDB0003470;HMDB0001491;HMDB0059597;HMDB0001354;HMDB0000547;HMDB0001533;HMDB0001487;HMDB0001396;HMDB0000902;HMDB0001248;HMDB0001534;HMDB0000051;HMDB0006825;HMDB0000464;HMDB0006826	
SMPDB	SMP0000064	Fructose and Mannose Degradation	Metabolic	AKR1B1;SORD;PHPT1;HK1;MPI;PMM1;PFKL;FBP1;GMPPB;GMDS;TSTA3;FPGT;FUK;KHK;TPI1;ALDOA;PFKFB1;ALDOB	HMDB0000217;HMDB0000247;HMDB0000221;HMDB0003345;HMDB0000902;HMDB0000660;HMDB0001487;HMDB0001303;HMDB0006800;HMDB0002111;HMDB0002142;HMDB0000538;HMDB0000124;HMDB0001341;HMDB0001078;HMDB0000169;HMDB0006330;HMDB0000547;HMDB0001058;HMDB0001429;HMDB0001273;HMDB0001163;HMDB0000250;HMDB0001473;HMDB0001112;HMDB0001346;HMDB0001095;HMDB0001265;HMDB0000174;HMDB0001076;HMDB0001051;HMDB0001047	
SMPDB	SMP0000124	Glycerol Phosphate Shuttle	Metabolic	GAPDH;GPD1;GPD2	HMDB0001473;HMDB0000126;HMDB0001112;HMDB0000902;HMDB0002142;HMDB0001270;HMDB0001487;HMDB0003364;HMDB0002434;HMDB0001248	
SMPDB	SMP0000455	Homocysteine Degradation	Metabolic	CBS;CTH	HMDB0000742;HMDB0000187;HMDB0002111;HMDB0000099;HMDB0001491;HMDB0000574;HMDB0000005;HMDB0000051	
SMPDB	SMP0000071	Ketone Body Metabolism	Metabolic	ACAT1;HMGCS2;HMGCL;OXCT1;BDH1	HMDB0001206;HMDB0001484;HMDB0001423;HMDB0002111;HMDB0001375;HMDB0000060;HMDB0001022;HMDB0000254;HMDB0000011;HMDB0000902;HMDB0001487;HMDB0001659;HMDB0001967	
SMPDB	SMP0000037	Lysine Degradation	Metabolic	AASS;ALDH7A1;AADAT;ECHS1;HADH;ACAT1;SLC7A2;SLC25A2;PIPOX;GCDH;DHTKD1;DLST;DLD	HMDB0000182;HMDB0000221;HMDB0000208;HMDB0000279;HMDB0000217;HMDB0002111;HMDB0000902;HMDB0001263;HMDB0000148;HMDB0001487;HMDB0000510;HMDB0000225;HMDB0001491;HMDB0001339;HMDB0002009;HMDB0001166;HMDB0001484;HMDB0001206;HMDB0001423;HMDB0012130;HMDB0000716;HMDB0001377;HMDB0003125;HMDB0001248;HMDB0001967;HMDB0001372;HMDB0000962	
SMPDB	SMP0000129	Malate-Aspartate Shuttle	Metabolic	GOT2;SLC25A12;MDH2;SLC25A11	HMDB0000223;HMDB0000191;HMDB0000208;HMDB0000148;HMDB0001491;HMDB0000464;HMDB0000744;HMDB0000902;HMDB0001487;HMDB0059597	
SMPDB	SMP0000010	Nucleotide Sugars Metabolism	Metabolic	GCK;PGM1;UGP2;UGDH;UXS1;GALT;GALK1;GALE	HMDB0000538;HMDB0003345;HMDB0001341;HMDB0001401;HMDB0001586;HMDB0000547;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000902;HMDB0002111;HMDB0000935;HMDB0001487;HMDB0001018;HMDB0001967;HMDB0000302;HMDB0000645;HMDB0015531;HMDB0001303;HMDB0000143	
SMPDB	SMP0000027	Pantothenate and CoA Biosynthesis	Metabolic	VNN1;PANK1;PPCS;PPCDC;COASY;ENPP1	HMDB0003426;HMDB0002111;HMDB0000210;HMDB0002991;HMDB0000538;HMDB0001016;HMDB0001341;HMDB0000082;HMDB0000574;HMDB0000095;HMDB0000250;HMDB0001117;HMDB0001416;HMDB0001967;HMDB0001520;HMDB0006834;HMDB0001373;HMDB0001423;HMDB0000045;HMDB0000464;HMDB0004231	
SMPDB	SMP0000126	Phenylacetate Metabolism	Metabolic	ACSM1;GLYAT;ACSM2B	HMDB0000209;HMDB0000538;HMDB0001423;HMDB0006503;HMDB0000250;HMDB0000045;HMDB0000547;HMDB0000641;HMDB0006344	
SMPDB	SMP0000459	Pyruvaldehyde Degradation	Metabolic	GLO1;LDHD;HAGH	HMDB0001066;HMDB0000125;HMDB0001167;HMDB0001303;HMDB0001311;HMDB0000243;HMDB0059597;HMDB0001248;HMDB0002111	
SMPDB	SMP0000070	Riboflavin Metabolism	Metabolic	TYR;ENPP1;FLAD1;ACP1;RFK	HMDB0002434;HMDB0001377;HMDB0003364;HMDB0002111;HMDB0000657;HMDB0003826;HMDB0004256;HMDB0001248;HMDB0000045;HMDB0001520;HMDB0000464;HMDB0000538;HMDB0000250;HMDB0000547;HMDB0000244;HMDB0001429;HMDB0001341;HMDB0015532;HMDB0003701	
SMPDB	SMP0000076	Thiamine Metabolism	Metabolic	TPK1;SLC19A2;NTPCR;THTPA	HMDB0000538;HMDB0000235;HMDB0000045;HMDB0001372;HMDB0002111;HMDB0002666;HMDB0001429;HMDB0001341;HMDB0001512	
SMPDB	SMP0000445	Spermidine and Spermine Biosynthesis	Metabolic	MAT2A;MAT2B;SRM;SMS;ODC1;AMD1	HMDB0000538;HMDB0000696;HMDB0002111;HMDB0001185;HMDB0001429;HMDB0000250;HMDB0000547;HMDB0000586;HMDB0000988;HMDB0001414;HMDB0001173;HMDB0001257;HMDB0001256;HMDB0000214;HMDB0001967;HMDB0001491;HMDB0059597;HMDB0061359	
SMPDB	SMP0000021	Taurine and Hypotaurine Metabolism	Metabolic	CDO1;ADO;CSAD;GAD1;GGT6	HMDB0000574;HMDB0001377;HMDB0000996;HMDB0000692;HMDB0002991;HMDB0001967;HMDB0000965;HMDB0015531;HMDB0001491;HMDB0002757;HMDB0000251;HMDB0004195	
SMPDB	SMP0000065	Ubiquinone Biosynthesis	Metabolic	COQ2;COQ3;COQ6;COQ5;COQ7	HMDB0000500;HMDB0012188;HMDB0006816;HMDB0000250;HMDB0001063;HMDB0001185;HMDB0000939;HMDB0000977;HMDB0006817;HMDB0001377;HMDB0006818;HMDB0002111;HMDB0006819;HMDB0000221;HMDB0059597;HMDB0006820;HMDB0000217;HMDB0012943;HMDB0036062	
SMPDB	SMP0000041	Sulfate/Sulfite Metabolism	Metabolic	SUOX;PAPSS2;BPNT1;SULT1E1;SULT1A1;SULT2B1;CHST11	HMDB0000240;HMDB0001377;HMDB0002111;HMDB0001448;HMDB0003125;HMDB0003178;HMDB0001302;HMDB0000538;HMDB0001003;HMDB0000250;HMDB0001341;HMDB0001134;HMDB0001429;HMDB0000547;HMDB0000145;HMDB0000061;HMDB0001425;HMDB0000228;HMDB0060015;HMDB0000820;HMDB0061375;HMDB0000629;HMDB0000652	
SMPDB	SMP0000450	Phytanic Acid Peroxisomal Oxidation	Metabolic	SLC27A2;PHYH;HACL1;ALDH3A2	HMDB0000801;HMDB0000538;HMDB0001423;HMDB0001359;HMDB0001341;HMDB0000250;HMDB0000208;HMDB0001377;HMDB0001295;HMDB0000254;HMDB0001967;HMDB0015531;HMDB0000044;HMDB0001958;HMDB0003419;HMDB0000547;HMDB0001372;HMDB0000902;HMDB0002111;HMDB0000795;HMDB0001487;HMDB0001206;HMDB0001275;HMDB0001243	
SMPDB	SMP0000008	Phenylalanine and Tyrosine Metabolism	Metabolic	GOT1;IL4I1;TAT;PAH;YARS;FARSA;FARSB;HPD;HGD;GSTZ1;FAH	HMDB0000159;HMDB0000208;HMDB0000205;HMDB0000148;HMDB0001491;HMDB0002111;HMDB0001377;HMDB0000051;HMDB0003125;HMDB0001248;HMDB0059658;HMDB0000158;HMDB0002281;HMDB0000692;HMDB0000707;HMDB0000538;HMDB0000045;HMDB0000250;HMDB0000130;HMDB0001967;HMDB0012943;HMDB0002052;HMDB0015531;HMDB0001268;HMDB0000060;HMDB0000134;HMDB0000464;HMDB0000547	
SMPDB	SMP0000044	Histidine Metabolism	Metabolic	CNDP1;CARNS1;PRMT3;HDC;HNMT;MAOA;ALDH3A1;ALDH2;HAL;UROC1;AMDHD1;FTCD;ABP1;CARNMT1;CNDP2;HARS2;HARS	HMDB0000033;HMDB0002111;HMDB0000056;HMDB0000177;HMDB0001303;HMDB0000538;HMDB0001341;HMDB0001429;HMDB0001333;HMDB0001185;HMDB0000479;HMDB0000939;HMDB0000870;HMDB0001967;HMDB0001491;HMDB0000898;HMDB0001377;HMDB0004181;HMDB0000051;HMDB0003125;HMDB0001248;HMDB0000217;HMDB0002820;HMDB0000221;HMDB0059597;HMDB0003905;HMDB0000902;HMDB0002024;HMDB0001487;HMDB0000301;HMDB0001014;HMDB0000854;HMDB0001846;HMDB0001534;HMDB0000148;HMDB0000045;HMDB0000250;HMDB0000657;HMDB0000464;HMDB0011639;HMDB0000194;HMDB0000001	
SMPDB	SMP0000075	Arachidonic Acid Metabolism	Metabolic	CYP4F2;LTA4H;LTC4S;GGT1;GPX1;PTGIS;PTGDS;AKR1C3;TBXAS1;PTGES;CBR1;ALOX15;CYP2C8;CYP2B6;EPHX2;ALOX5;PTGS1;ALOX15B;CYP2E1;ALOX12B;CYP2J2;CYP2U1;CYP4A11;ALOX12;PLA2G4B;PTGS2;CYP4F8;CYP4F3	HMDB0001509;HMDB0006059;HMDB0001085;HMDB0000221;HMDB0001377;HMDB0000217;HMDB0002111;HMDB0003178;HMDB0001337;HMDB0001303;HMDB0004234;HMDB0000125;HMDB0001198;HMDB0003080;HMDB0000148;HMDB0061111;HMDB0004244;HMDB0003876;HMDB0003337;HMDB0004238;HMDB0005079;HMDB0002886;HMDB0004241;HMDB0011134;HMDB0010217;HMDB0002710;HMDB0001335;HMDB0001403;HMDB0001381;HMDB0011137;HMDB0001452;HMDB0001220;HMDB0001139;HMDB0002752;HMDB0060095;HMDB0003252;HMDB0004236;HMDB0004242;HMDB0001043;HMDB0012943;HMDB0004693;HMDB0004694;HMDB0005050;HMDB0004684;HMDB0004680;HMDB0004264;HMDB0002265;HMDB0000547;HMDB0004673;HMDB0002314;HMDB0011135;HMDB0000464;HMDB0003235;HMDB0002232;HMDB0002311;HMDB0002190;HMDB0002343;HMDB0004699;HMDB0011136;HMDB0004692;HMDB0004679;HMDB0004659;HMDB0005998;HMDB0004243;HMDB0061119;HMDB0013633;HMDB0061118;HMDB0007883;HMDB0010379;HMDB0061377;HMDB0061378	
SMPDB	SMP0000068	Androgen and Estrogen Metabolism	Metabolic	SULT1E1;CYP19A1;HSD17B1;UGT2B11;CYP17A1;HSD3B1;SULT2B1;HSD17B3;AKR1D1;SRD5A1;UGT2B17;STS	HMDB0000145;HMDB0001134;HMDB0001425;HMDB0000061;HMDB0006768;HMDB0001377;HMDB0000142;HMDB0002111;HMDB0003178;HMDB0000151;HMDB0000217;HMDB0000221;HMDB0003959;HMDB0003955;HMDB0006769;HMDB0000935;HMDB0006224;HMDB0000295;HMDB0000053;HMDB0000374;HMDB0000363;HMDB0000902;HMDB0001487;HMDB0059597;HMDB0000077;HMDB0001032;HMDB0000234;HMDB0006770;HMDB0002961;HMDB0003193;HMDB0001448;HMDB0000464	
SMPDB	SMP0000127	Glucose-Alanine Cycle	Metabolic	GPT2;SLC38A4;GPT;SLC2A2;SLC2A4;SLC25A22;GLUD1;SLC1A4	HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0001491;HMDB0000122;HMDB0059597;HMDB0002111;HMDB0000902;HMDB0000051;HMDB0001487	
SMPDB	SMP0000464	Vitamin K Metabolism	Metabolic	NQO1;VKORC1;GGCX	HMDB0003555;HMDB0000221;HMDB0004198;HMDB0000217;HMDB0001248;HMDB0002972;HMDB0059664;HMDB0013593;HMDB0001377;HMDB0001967;HMDB0002111;HMDB0000237;HMDB0000202	
SMPDB	SMP0000025	Phospholipid Biosynthesis	Metabolic	AGPAT1;CDS1;CDIPT;GPD2;ACHE;CHAT;GDE1;LYPLA1;PLA2G15;PLA2G2D;PLA2G4B;PHOSPHO1;CHPT1;DGKA;PPAP2A;PLD2;PEMT;PTDSS2;PISD;PGS1;PTPMT1;CRLS1;GPD1;GPAM;PCYT1A;CHKA;PTDSS1	HMDB0001473;HMDB0000126;HMDB0007853;HMDB0000674;HMDB0006968;HMDB0000547;HMDB0009778;HMDB0001333;HMDB0001248;HMDB0001197;HMDB0000464;HMDB0000895;HMDB0000097;HMDB0001413;HMDB0010382;HMDB0000564;HMDB0001565;HMDB0007098;HMDB0008923;HMDB0011503;HMDB0000114;HMDB0000149;HMDB0000614;HMDB0013472;HMDB0010570;HMDB0056387;HMDB0001487;HMDB0000902;HMDB0001338	
SMPDB	SMP0000444	Lactose Synthesis	Metabolic	G6PC;UGP2;NME2;CMPK1;GALT;SLC2A1;LALBA;B4GALT1;CANT1	HMDB0001586;HMDB0002111;HMDB0000122;HMDB0001429;HMDB0000285;HMDB0000286;HMDB0000250;HMDB0000538;HMDB0000295;HMDB0001341;HMDB0000547;HMDB0000288;HMDB0000302;HMDB0000645;HMDB0015531;HMDB0001303;HMDB0000186;HMDB0000464;HMDB0001333;HMDB0002142	
